# base_period_start: 19790101
# base_period_end: 20011230
# n_modes: 24
# n_clusters: 4
# window_length: 10
# season: DJF
# input_file: results/nnr1/fields/day/pressure/nnr1.hgt.500.19480101_20200530.nc
date,value
1948-01-01,-0.468310843575329
1948-02-01,-1.4092463339211039
1948-03-01,-1.723160032702036
1948-04-01,-2.3916798899989193
1948-05-01,0.4863380316442264
1948-06-01,-2.3614626376358157
1948-07-01,0.21770010060513045
1948-08-01,-3.0119391407160117
1948-09-01,0.3542796781440688
1948-10-01,1.3874581196118245
1948-11-01,-0.1801147519493631
1948-12-01,-1.793393874749755
1949-01-01,0.5865630733054547
1949-02-01,-1.454106082036521
1949-03-01,0.5927604628504249
1949-04-01,0.31467535436990995
1949-05-01,0.09631878485443317
1949-06-01,-1.7030592153199198
1949-07-01,-0.11020647436495107
1949-08-01,0.9742274406115516
1949-09-01,-0.4361308638308348
1949-10-01,-0.8591673373013384
1949-11-01,-0.8271739933680837
1949-12-01,-0.2530747738094127
1950-01-01,-2.326411477984153
1950-02-01,-1.1099100596772558
1950-03-01,-0.7265933161810906
1950-04-01,0.5369524119682222
1950-05-01,-0.427988398845108
1950-06-01,-0.04518061340384915
1950-07-01,-2.2038302849069877
1950-08-01,-2.497227203275555
1950-09-01,0.3240331057658012
1950-10-01,0.5083043981997861
1950-11-01,-0.9104184796316416
1950-12-01,1.251310974965329
1951-01-01,0.622356490822772
1951-02-01,-0.644257021926083
1951-03-01,-0.20059106134046367
1951-04-01,0.0692841595967372
1951-05-01,-0.025083186978617375
1951-06-01,-2.4713521714682964
1951-07-01,-1.0119168073637237
1951-08-01,-1.526233991770602
1951-09-01,-1.0162758782017165
1951-10-01,-0.6725656711694338
1951-11-01,-0.7813563026777592
1951-12-01,-0.6858195754806574
1952-01-01,0.1767648184799961
1952-02-01,1.1590202530629814
1952-03-01,-0.5409804731852438
1952-04-01,-0.5947863971665813
1952-05-01,-0.2687415368911665
1952-06-01,0.6354209958219047
1952-07-01,0.41355569085525457
1952-08-01,-0.28222991187898605
1952-09-01,0.3689216496768888
1952-10-01,-0.9783607952813763
1952-11-01,0.5413560905659717
1952-12-01,1.404446549587987
1953-01-01,1.1281384704099517
1953-02-01,1.025269428691075
1953-03-01,-0.03590408990050086
1953-04-01,0.8810814184756771
1953-05-01,-1.2184952124741222
1953-06-01,-1.823256217564309
1953-07-01,-1.3496981966598198
1953-08-01,-0.8849813536712003
1953-09-01,0.05841045834341632
1953-10-01,-0.2480492170445487
1953-11-01,0.20245189928570745
1953-12-01,-0.801169358408877
1954-01-01,0.20411689897699697
1954-02-01,0.2818040430074041
1954-03-01,-1.1173697202004484
1954-04-01,-2.467146475770093
1954-05-01,-0.5737741952595475
1954-06-01,0.7110807752328621
1954-07-01,1.3239497125898692
1954-08-01,-3.1202821654882706
1954-09-01,-0.17407778292254417
1954-10-01,0.5309891924818633
1954-11-01,0.18232589246291928
1954-12-01,0.5275680523527181
1955-01-01,0.8083009941690801
1955-02-01,-0.07647955821129213
1955-03-01,-1.4254128404064543
1955-04-01,-0.08402127653011501
1955-05-01,-0.24735820492049726
1955-06-01,0.615243028079164
1955-07-01,0.8652231452460324
1955-08-01,-1.5454839149680297
1955-09-01,-0.933488639264911
1955-10-01,1.140014678394217
1955-11-01,-1.0047937195354293
1955-12-01,-1.2012455389841703
1956-01-01,1.0771999706409097
1956-02-01,-0.23504547309175772
1956-03-01,-1.2112240585499081
1956-04-01,-0.33405351722501436
1956-05-01,-1.5528870470799985
1956-06-01,1.1896363479435172
1956-07-01,-1.2915613802416135
1956-08-01,-1.3525117158448494
1956-09-01,-1.5103016602585309
1956-10-01,0.3480733263322137
1956-11-01,0.26643354364592764
1956-12-01,-1.464676323854241
1957-01-01,-1.7881668243059923
1957-02-01,-1.898620329609327
1957-03-01,-0.8808667110825893
1957-04-01,-1.750337119409164
1957-05-01,-0.8404222920069866
1957-06-01,-1.9249196189544369
1957-07-01,-0.25631814385541246
1957-08-01,0.12083373725521865
1957-09-01,0.36588817977295107
1957-10-01,0.7700418241212162
1957-11-01,-0.7887173143551421
1957-12-01,0.4452192327887749
1958-01-01,2.203716098714766
1958-02-01,0.48775702598920423
1958-03-01,-0.07250927866952288
1958-04-01,0.3111968344177347
1958-05-01,-0.11917138298488246
1958-06-01,-1.1853712015986082
1958-07-01,-2.167592017133035
1958-08-01,-0.969079307107821
1958-09-01,-1.2943942652940286
1958-10-01,-0.3309992399995271
1958-11-01,-0.24435291821304617
1958-12-01,-0.7359207088955286
1959-01-01,0.16428271048356516
1959-02-01,-1.0087063251229875
1959-03-01,-1.6669267868917328
1959-04-01,-1.4375406728749918
1959-05-01,-0.9177005097641243
1959-06-01,-1.1299965440595607
1959-07-01,0.09464835338570189
1959-08-01,-2.7474566749119886
1959-09-01,-0.008118195884225491
1959-10-01,-2.8261852846813214
1959-11-01,-0.6866424266052081
1959-12-01,0.028284786448857756
1960-01-01,0.06896458033265422
1960-02-01,0.35703229266489045
1960-03-01,-2.5940210285291587
1960-04-01,-0.7868356895664834
1960-05-01,-1.6184935291634668
1960-06-01,-1.2685604819976695
1960-07-01,-0.8532153918236074
1960-08-01,-2.4855805698799767
1960-09-01,-1.2104108464418264
1960-10-01,-1.0849114200071435
1960-11-01,-1.3203164971311327
1960-12-01,0.7528406010967308
1961-01-01,0.15785911857256824
1961-02-01,-0.41159882505178824
1961-03-01,0.20638657274151676
1961-04-01,-1.8247558454685775
1961-05-01,-0.9241115156119283
1961-06-01,0.37978042311249155
1961-07-01,0.26307341498267245
